row_number,x,y
1,458859.133981963,4404705.344689924
2,458860.8063964536,4404702.651057738
3,458862.45887599513,4404699.97877314
4,458864.09068420087,4404697.326286142
5,458865.6980895694,4404694.697190503
6,458867.2742392442,4404692.100217576
7,458868.8095199895,4404689.548522158
8,458870.2923137209,4404687.058405742
9,458871.7099915244,4404684.647695826
10,458873.04997384106,4404682.334023898
11,458874.3007092285,4404680.133219889
12,458875.4524725667,4404678.057982409
13,458876.49793429376,4404676.116915401
14,458877.43248927634,4404674.313964184
15,458878.2543538334,4404672.648245642
16,458878.96444845496,4404671.114246423
17,458879.5660898421,4404669.70235317
18,458880.0645240452,4404668.399673069
19,458880.4663437928,4404667.19109377
20,458880.77884491306,4404666.060511775
21,458881.0093843059,4404664.992124757
22,458881.1648013908,4404663.971640809
23,458881.2509547043,4404662.987223411
24,458881.272402028,4404662.029995572
25,458881.23221252766,4404661.093999485
26,458881.131860292,4404660.175637869
27,458880.971151764,4404659.272754744
28,458880.7481949114,4404658.383612637
29,458880.45947487006,4404657.506062047
30,458880.1000796647,4404656.637096691
31,458879.6640233588,4404655.772785617
32,458879.1445740413,4404654.908415257
33,458878.53448759,4404654.038693186
34,458877.82620003406,4404653.157961901
35,458877.01204494864,4404652.260408586
36,458876.084506387,4404651.340245351
37,458875.03645750793,4404650.391811327
38,458873.8613269146,4404649.409565014
39,458872.5531860482,4404648.3879953455
40,458871.106815755,4404647.321536252
41,458869.5178354376,4404646.204577527
42,458867.78295141296,4404645.031623685
43,458865.90032833215,4404643.797593553
44,458863.8700388333,4404642.49820592
45,458861.6945164158,4404641.13037412
46,458859.37892359577,4404639.692534673
47,458856.9313429363,4404638.184855198
48,458854.3626965757,4404636.609299579
49,458851.6863025152,4404634.969572146
50,458848.9169953422,4404633.271007931
51,458846.0700436701,4404631.520430681
52,458843.1602022487,4404629.725644472
53,458840.20089644,4404627.894734232
